"2.319","2.3077","2.3173","2.3096","2.2949","2.3073","2.3073","2.3117","2.3857","2.3639","2.3867","2.3675","2.3846","2.2954","2.3197","2.313","2.3175","2.3156","2.3144","2.3155"
"2.2818","2.3119","2.2786","2.3096","2.3662","2.3681","2.2654","2.3158","2.3166","2.3156","2.3076","2.3076","2.3139","2.3103","2.3105","2.3067","2.3088","2.3112","1.9157","2.3135"
"2.2958","2.2705","2.3093","2.3668","2.2906","2.315","2.3134","2.3046","2.3125","2.3117","2.3072","2.3087","1.9158","2.3122","2.3039","2.3111","2.3095","2.3069","2.3114","2.3101"
"2.2988","2.2679","2.3672","2.2964","2.3163","2.3058","2.3121","2.3073","2.3086","1.9159","2.3111","2.3079","2.3102","2.3068","2.3094","2.309","2.3024","2.3154","2.3123","1.9689"
"2.2917","2.3074","2.268","2.316","2.307","2.3115","2.3075","1.916","2.3043","2.311","2.3062","2.3095","2.311","2.3015","2.3143","1.9694","2.2986","2.2982","2.3034","2.3047"
"2.2835","2.3073","2.3043","2.3082","2.3121","2.308","1.9162","2.3053","2.3059","2.3094","2.3115","2.3016","2.3002","1.9653","2.2982","2.303","2.2926","2.3293","2.3164","2.3228"
"2.2768","2.2295","2.3156","2.3044","2.3076","1.9162","2.3048","2.307","2.3072","2.3026","2.3147","1.9658","2.2989","2.3034","2.2698","2.3183","2.3243","2.3006","2.2941","2.3324"
"2.2712","2.2657","2.3105","2.3056","1.9158","2.3052","2.3063","2.3089","2.3018","1.9686","2.2983","2.3021","2.2839","2.3177","2.3236","2.3057","2.28","2.3283","2.34","2.3529"
"2.2663","2.2854","2.3075","2.3061","1.9159","2.3062","2.3074","2.3023","1.968","2.2984","2.3037","2.254","2.3144","2.292","2.2885","2.3294","2.34","2.2803","2.3007","2.2178"
"2.2621","2.2981","2.3052","1.9156","2.3054","2.3073","2.2991","1.9684","2.2985","2.3041","2.3164","2.3249","2.3051","2.336","2.3406","2.3122","2.2998","2.2126","2.3178","2.3465"
"2.2586","2.3037","2.3051","1.9156","2.3063","2.3103","2.3009","1.9646","2.3029","2.2518","2.2786","2.3017","2.3313","2.3405","2.3075","2.3104","2.1944","2.3471","2.2958","2.3453"
"2.2556","2.3069","2.3061","1.9158","2.3071","2.2994","1.9671","2.3007","2.2732","2.3132","2.3019","2.331","2.3135","2.3183","2.2038","2.3168","2.2963","2.3451","2.2973","2.3057"
"2.2528","2.3101","1.9153","2.3053","2.3092","2.3008","1.9641","2.2927","2.3154","2.2962","2.3339","2.3136","2.286","2.199","2.3013","2.2956","2.3112","2.3047","2.3032","2.3039"
"2.2567","2.3102","1.9158","2.3059","2.2978","1.9672","2.3012","2.2573","2.278","2.2803","2.3406","2.3146","2.1956","2.3009","2.2956","2.2843","2.3053","2.3018","2.2996","2.3039"
"2.2635","2.309","1.9157","2.307","2.2994","1.9654","2.2914","2.3144","2.2967","2.3276","2.3031","2.1924","2.3156","2.2956","2.2863","2.3057","2.3016","2.2949","2.3048","2.3069"
"2.2686","2.3082","1.9158","2.3077","1.9692","2.3002","2.2667","2.2826","2.2703","2.3128","2.3019","2.176","2.2962","2.283","2.3058","2.3016","2.2952","2.3053","2.3062","2.3056"
"2.2731","2.3074","1.9158","2.2958","1.9674","2.2984","2.315","2.2934","2.3265","2.2858","2.1851","2.2974","2.3106","2.3053","2.3022","2.2952","2.3054","2.3058","2.305","2.2767"
